Range GridFID=A3:B895,,FIDRangeXY is $B$4:$E$895,,,,,,,,,Range=TimeRange,,Range=Hourttime,
Range Name AddressXY,,,,,,,Range Name CASE#FID,,,,00:00,T1,0,T1
Adress,FID,Building Name,X,Y,,,Case,FID,Signal,,0.083333,T2,2,T2
AA14,138,grid AA14,892985.08900000004,503836.90500000003,,,07000661,###,14tpw,,,,,
AA15,139,grid AA15,893063.87800000003,503749.40100000001,,,07000662,###,#N/A,,,,,
AA16,140,grid AA16,893151.41899999999,503661.43900000001,,,07000662,###,14,,,,,
AA18,141,grid AA18,893334.79399999999,503476.30300000001,,,07000663,###,#N/A,,,,,
AA19,142,grid AA19,893408.978,503384.65299999999,,,07000663,###,41,,,,,
AA20,143,grid AA20,893491.45400000003,503283.79100000003,,,07000670,###,#N/A,,,,,
AA21,144,grid AA21,893561.49100000004,503196.74599999998,,,07000670,###,27un,,,,,
AA22,145,grid AA22,893653.179,503104.17800000001,,,07000688,###,#N/A,,,,,
AA23,146,grid AA23,893735.65500000003,503003.31699999998,,,07000688,###,27,,,,,
AA24,147,grid AA24,893819.049,502919.96,,,07000689,###,#N/A,,,,,
AA25,148,grid AA25,893905.67299999995,502814.49300000002,,,07000689,###,41,,,,,
AA26,149,grid AA26,893975.71,502727.44799999997,,,07000690,###,#N/A,,,,,
AA27,952,grid AA27,894072.25899999996,502642.625,,,07000690,###,35,,,,,
AA28,953,grid AA28,894144.19900000002,502565.4,,,07000708,###,#N/A,,,,,
B22,150,grid B22,891400.76699999999,501078.13799999998,,,07000708,###,18,,,,,
B23,151,grid B23,891483.34400000004,500986.42700000003,,,07000711,###,#N/A,,,,,
B24,152,grid B24,891559.80700000003,500889.21,,,07000711,###,27,,,,,
B27,902,grid B27,891826.58100000001,500619.071,,,07000713,###,#N/A,,,,,
B28,903,grid B28,891895.97900000005,500541.99699999997,,,07000713,###,#N/A,,,,,
BB10,153,grid BB10,892762.50199999998,504278.60700000002,,,07000713,###,28,,,,,
BB11,154,grid BB11,892850.04299999995,504190.64500000002,,,07000713,###,27,,,,,
BB12,155,grid BB12,892917.30500000005,504103.12199999997,,,07000752,###,#N/A,,,,,
BB13,156,grid BB13,892999.32700000005,504024.848,,,07000752,###,17,,,,,
BB14,157,grid BB14,893077.65700000001,503928.59299999999,,,07000790,###,#N/A,,,,,
