address,fid,building_name,x,y
KK3,406,grid KK3,892985.88,505640.38
KK4,407,grid KK4,893065.88100000005,505551.53
KK5,408,grid KK5,893161.96299999999,505461.837
KK8,409,grid KK8,893398.15700000001,505199.51799999998
KK9,410,grid KK9,893489.58600000001,505097.97499999998
L10,411,grid L10,891325.473,502970.69500000001
L11,412,grid L11,891392.01599999995,502876.679
L12,413,grid L12,891478.06400000001,502791.17
L13,414,grid L13,891550.10600000003,502711.15899999999
L14,415,grid L14,891640.65599999996,502620.64899999998
L17,416,grid L17,891901.80700000003,502330.61099999998
L18,417,grid L18,891982.85400000005,502246.6
L19,418,grid L19,892049.89500000002,502156.08600000001
L20,419,grid L20,892135.44499999995,502061.07400000002
L21,420,grid L21,892219.65700000001,501982.05599999998
L22,421,grid L22,892300.44900000002,501880.97
