case,fid,signal
07006712,14,
07006717,###,
07006718,###,
07006729,###,
07006734,###,
07006751,813,
07006768,###,
07006772,###,
07006780,###,
07006788,722,
07006799,###,
07006807,###,
07006809,###,
07006930,67,
07006954,###,
07006955,###,
07006998,###,
07007031,18,
07007037,###,
07007041,140,
07007059,26,
07007059,26,
07007060,7,
07007067,###,
07007071,14,
07007081,###,
07007091,###,
07007092,###,
07007097,648,
07007105,20,
07007125,###,
07007130,26,
07007146,###,
07007148,62,
07007148,62,
07007151,62,
07007156,###,
07007218,###,
07007245,70,
07007246,71,
07007264,###,
07007265,129,
07007280,###,
07007289,72,
07007290,67,
07007293,46,
07007294,###,
07007313,###,
07007313,###,
07007318,###,
07007323,###,
07007328,###,
07007328,###,
07007330,###,
07007349,###,
07007351,219,
07007373,###,
07007380,###,
07007381,###,
07007388,###,
07007391,22,
07007423,###,
07007425,###,
07007426,###,
07007443,###,
07007460,###,
07007487,361,
07007498,395,
07007498,395,
07007500,###,
07007504,###,
07007517,74,
07007518,59,
07007528,###,
07007531,###,
07007532,###,
07007534,###,
07007536,###,
07007546,###,
07007547,###,
07007549,###,
07007552,###,
07007554,###,
07007560,###,
07007561,###,
07007564,###,
07007566,###,
07007567,###,
07007578,###,
07007582,###,
07007583,###,
07007589,###,
07007594,###,
07007596,###,
07007598,###,
07007599,###,
07007609,###,
07007622,###,
07007622,###,
07007627,###,
07007641,###,
07007641,###,
07007647,###,
07007667,###,
07007687,###,
07007691,###,
07007710,###,
07007717,###,
07007718,###,
07007721,###,
07007722,###,
07007723,###,
07007726,###,
07007729,###,
07007730,###,
07007732,###,
07007734,###,
07007742,###,
07007750,###,
07007758,###,
07007768,###,
07007770,###,
07007771,###,
07007778,###,
07007780,###,
07007781,###,
07007781,###,
07007782,###,
07007788,###,
07007796,###,
07007800,###,
07007806,###,
07007815,###,
07007819,###,
07007820,###,
07007822,###,
07007824,###,
07007832,###,
07007835,###,
07007837,###,
07007838,###,
07007840,###,
07007842,###,
07007847,###,
07007849,###,
07007859,###,
07007864,###,
07007864,###,
07007866,###,
07007866,###,
07007866,###,
07007870,###,
07007872,###,
07007873,###,
07007874,###,
07007875,###,
07007879,###,
07007889,###,
07007901,###,
07007903,###,
07007906,###,
07007916,###,
07007917,###,
07007919,###,
07007929,###,
07007930,###,
07007936,###,
07007941,###,
07007943,###,
07007943,###,
07007950,###,
07007951,###,
07007952,###,
07007953,###,
07007957,###,
07007959,###,
07007964,###,
07007965,###,
07007966,###,
07007968,###,
07007972,###,
07007974,###,
07007977,###,
07008000,###,
07008006,###,
07008007,###,
07008011,###,
07008016,###,
07008017,###,
07008020,###,
07008028,###,
07008030,###,
07008032,###,
07008033,###,
07008034,###,
07008037,###,
07008038,###,
07008045,###,
07008052,###,
07008054,###,
07008054,###,
07008058,###,
07008062,###,
07008063,###,
07008065,###,
07008066,###,
07008067,###,
07008068,###,
07008073,###,
07008075,###,
07008077,###,
07008081,###,
07008084,###,
07008089,###,
07008091,###,
07008107,###,
07008113,###,
07008114,###,
07008115,###,
07008118,###,
07008122,###,
07008124,###,
07008126,###,
07008129,###,
07008130,###,
07008134,###,
07008136,###,
07008137,###,
07008145,###,
07008145,###,
07008147,###,
07008154,###,
07008160,###,
07008168,###,
07008169,###,
07008172,###,
07008180,###,
07008183,###,
07008187,###,
07008190,###,
07008192,###,
07008194,###,
07008194,###,
07008207,###,
07008214,###,
07008232,###,
07008232,###,
07008239,###,
07008241,###,
07008242,###,
07008243,###,
07008255,###,
07008262,###,
07008282,###,
07008286,###,
07008288,###,
07008292,###,
07008294,###,
07008297,###,
07008298,###,
07008302,###,
07008304,###,
07008306,###,
07008312,###,
07008321,###,
07008322,###,
07008335,###,
07008340,###,
07008342,###,
07008350,###,
07008365,###,
07008366,###,
07008370,###,
07008371,###,
07008384,###,
07008385,###,
07008390,###,
07008397,###,
07008399,###,
07008402,###,
07008402,###,
07008415,###,
07008416,###,
07008417,###,
07008418,###,
07008419,###,
07008421,###,
07008422,###,
07008425,###,
07008426,###,
07008430,###,
07008436,###,
07008438,###,
07008440,###,
07008451,###,
07008452,###,
07008463,###,
07008465,###,
07008473,###,
07008473,###,
07008475,76,
07008475,76,
07008476,76,
07008487,826,
07008500,329,
07008500,###,
07008502,48,
07008524,431,
07008543,77,
